Dimension,Metric,M-A (existing),M-B (cost-only),M-C (joint bi-objective),M-B→M-C change
Economy,Life-cycle cost C (10^8 RMB),26.4061,23.8948,27.8118,+16.39%
Economy,  Land acquisition CR (10^8),0.5049,0.5059,0.4994,-1.28%
Economy,  Bridge/tunnel CB (10^8),18.1536,15.6807,16.9457,+8.07%
Economy,  Basic construction CS (10^8),6.7835,6.7960,6.7086,-1.28%
Economy,  Maintenance CQ (10^8),0.2924,0.3068,0.2939,-4.23%
Economy,  Earthwork C_TU (10^8),0.6717,0.6054,3.3643,+455.70%
Energy,Life-cycle traffic energy E (10^8 RMB),13.9460,13.9799,13.0035,-6.98%
Energy,  Fuel-vehicle E_fuel (10^8),11.1072,11.1313,10.3982,-6.59%
Energy,  Electric-vehicle E_ele (10^8),2.8388,2.8487,2.6053,-8.54%
Efficiency,Length L (km),22.4618,22.5032,22.2141,-1.28%
Safety,Slope hazard degree Q,3.3093,3.2618,3.4413,+5.50%
