Dimension,Metric,M-A (existing),M-B (cost-only),M-C (joint bi-objective),M-B→M-C change
Economy,Life-cycle cost C (10^8 RMB),26.4088,23.7470,24.2026,+1.92%
Economy,  Land acquisition CR (10^8),0.5049,0.5059,0.5022,-0.74%
Economy,  Bridge/tunnel CB (10^8),18.1536,15.5825,16.0682,+3.12%
Economy,  Basic construction CS (10^8),6.7835,6.7962,6.7460,-0.74%
Economy,  Maintenance CQ (10^8),0.2924,0.3075,0.3013,-2.02%
Economy,  Earthwork C_TU (10^8),0.6744,0.5549,0.5851,+5.45%
Energy,Life-cycle traffic energy E (10^8 RMB),13.9425,13.9799,13.8246,-1.11%
Energy,  Fuel-vehicle E_fuel (10^8),11.1046,11.1344,11.0082,-1.13%
Energy,  Electric-vehicle E_ele (10^8),2.8379,2.8455,2.8164,-1.02%
Efficiency,Length L (km),22.4618,22.5041,22.3376,-0.74%
Safety,Slope hazard degree Q,3.3069,3.2322,3.2471,+0.46%
